CMDLINE python ball_fall.py
MEM 0.750000 1610118497.3579
MEM 17.996094 1610118497.4654
MEM 31.593750 1610118497.5700
MEM 50.937500 1610118497.6743
MEM 69.527344 1610118497.7791
MEM 84.269531 1610118497.8838
MEM 120.902344 1610118497.9910
MEM 163.878906 1610118498.0978
MEM 165.976562 1610118498.2023
MEM 169.988281 1610118498.3064
MEM 168.074219 1610118498.4114
MEM 168.074219 1610118498.5157
MEM 168.074219 1610118498.6200
MEM 168.074219 1610118498.7247
MEM 168.074219 1610118498.8296
MEM 168.074219 1610118498.9339
MEM 168.074219 1610118499.0381
MEM 161.695312 1610118499.1429
MEM 161.695312 1610118499.2473
MEM 161.695312 1610118499.3517
MEM 161.695312 1610118499.4561
MEM 161.695312 1610118499.5607
MEM 163.710938 1610118499.6651
MEM 163.710938 1610118499.7695
MEM 163.710938 1610118499.8740
MEM 163.710938 1610118499.9789
MEM 163.792969 1610118500.0834
MEM 163.792969 1610118500.2007
MEM 163.792969 1610118500.3163
MEM 163.792969 1610118500.4211
MEM 163.792969 1610118500.5258
MEM 163.792969 1610118500.6313
MEM 163.792969 1610118500.7360
MEM 163.792969 1610118500.8407
MEM 163.792969 1610118500.9456
MEM 163.792969 1610118501.0498
MEM 163.792969 1610118501.1540
MEM 163.792969 1610118501.2683
MEM 163.792969 1610118501.3726
MEM 163.792969 1610118501.4777
MEM 163.792969 1610118501.5828
MEM 163.792969 1610118501.6869
MEM 163.792969 1610118501.7917
MEM 164.785156 1610118501.8961
MEM 164.785156 1610118502.0005
MEM 164.785156 1610118502.1047
MEM 164.843750 1610118502.2096
MEM 164.843750 1610118502.3139
MEM 164.843750 1610118502.4183
MEM 164.843750 1610118502.5225
MEM 164.843750 1610118502.6269
MEM 164.843750 1610118502.7312
MEM 164.843750 1610118502.8357
MEM 164.843750 1610118502.9399
MEM 164.843750 1610118503.0443
MEM 164.843750 1610118503.1487
MEM 164.843750 1610118503.2531
MEM 164.843750 1610118503.3576
MEM 164.843750 1610118503.4624
MEM 164.843750 1610118503.5667
MEM 164.843750 1610118503.6711
MEM 164.843750 1610118503.7755
MEM 164.843750 1610118503.8801
MEM 164.843750 1610118503.9844
MEM 164.843750 1610118504.0887
MEM 164.843750 1610118504.1931
MEM 164.843750 1610118504.2974
MEM 164.843750 1610118504.4017
MEM 164.843750 1610118504.5060
MEM 164.843750 1610118504.6110
MEM 164.843750 1610118504.7155
MEM 164.843750 1610118504.8199
MEM 164.843750 1610118504.9240
MEM 164.843750 1610118505.0292
MEM 164.843750 1610118505.1334
MEM 164.843750 1610118505.2375
MEM 164.843750 1610118505.3432
MEM 164.843750 1610118505.4475
MEM 164.843750 1610118505.5517
MEM 164.843750 1610118505.6567
MEM 164.843750 1610118505.7629
MEM 164.843750 1610118505.8691
MEM 164.843750 1610118505.9746
MEM 164.843750 1610118506.0809
MEM 164.843750 1610118506.1868
MEM 164.843750 1610118506.2909
MEM 164.843750 1610118506.3976
MEM 164.843750 1610118506.5035
MEM 164.843750 1610118506.6076
MEM 164.843750 1610118506.7141
MEM 164.843750 1610118506.8201
MEM 166.195312 1610118506.9262
MEM 166.234375 1610118507.0327
MEM 166.234375 1610118507.1384
MEM 166.234375 1610118507.2440
MEM 166.234375 1610118507.3499
MEM 166.234375 1610118507.4554
